N,P,K,temperature,humidity,ph,rainfall,label
90.22,49.16,38.5,26.21,82.62,6.84,242.03,rice
96.49,56.28,39.5,25.2,83.15,6.93,211.05,rice
85.49,52.79,36.48,21.43,80.46,6.12,261.53,rice
92.02,47.87,43.26,21.08,80.8,6.22,251.52,rice
79.74,37.16,39.82,21.22,83.17,6.43,211.8,rice
75.89,42.2,39.87,25.17,81.51,6.5,224.09,rice
73.66,46.96,37.93,22.53,81.3,7.23,241.06,rice
74.4,48.57,39.78,23.11,83.11,6.63,224.08,rice
75.39,46.12,35.4,20.85,83.87,7.07,232.53,rice
84.61,49.06,46.16,25.46,82.37,5.77,191.81,rice
81.63,43.72,37.16,22.37,81.42,7.09,266.45,rice
79.94,54.9,40.15,21.99,84.02,6.52,208.88,rice
78.48,43.12,37.23,25.12,84.41,5.55,256.89,rice
74.79,45.06,38.82,21.99,82.55,5.83,248.11,rice
79.6,46.31,38.18,22.49,83.26,6.5,210.67,rice
80.79,51.26,36.66,24.45,81.84,6.54,217.1,rice
65.56,39.36,40.1,23.95,81.6,6.57,190.15,rice
79.47,41.44,38.7,23.58,81.64,6.06,270.19,rice
75.38,51.68,37.74,24.43,83.94,5.01,216.09,rice
84.62,46.48,40.74,22.44,82.59,6.17,275.03,rice
82.04,49.19,39.18,22.65,82.07,6.45,227.37,rice
82.32,57.88,41.74,22.93,83.7,6.05,178.86,rice
71.94,38.15,39.3,23.53,84.18,6.41,233.43,rice
86.64,36.44,40.47,24.85,81.02,6.82,250.15,rice
76.68,50.66,44.54,23.82,82.75,6.02,214.5,rice
86.64,43.22,40.14,22.66,82.98,6.42,271.13,rice
75.92,46.15,38.04,22.72,82.88,6.63,212.34,rice
86.96,54.28,40.83,26.78,81.73,5.63,186.64,rice
91.97,50.77,39.89,23.99,81.37,7.47,243.88,rice
80.88,51.13,40.96,23.89,81.71,6.49,296.46,rice
90.76,55.47,38.98,21.77,82.37,6.28,272.83,rice
66.46,55.15,39.68,22.75,81.49,5.42,264.7,rice
80.59,41.05,37.41,22.91,84.17,6.12,194.91,rice
78.03,46.14,34.61,23.4,82.27,6.6,295.47,rice
89.01,46.16,37.79,28.0,82.56,6.26,239.28,rice
81.58,46.78,38.85,22.54,82.47,5.98,218.61,rice
80.85,46.23,43.01,18.86,83.59,6.87,177.8,rice
77.26,45.64,37.18,22.14,81.39,7.13,268.07,rice
90.17,51.11,37.74,22.58,82.99,5.64,261.39,rice
78.08,45.63,41.42,24.28,82.14,6.83,207.57,rice
84.93,50.47,39.38,24.07,81.25,6.71,234.45,rice
75.82,52.75,18.59,19.33,58.77,6.74,68.99,maize
94.04,37.09,23.39,22.97,64.61,6.28,89.99,maize
79.7,53.02,20.23,22.84,63.55,6.48,88.85,maize
66.32,40.76,21.49,22.88,64.26,6.51,89.34,maize
75.68,43.61,20.39,20.3,66.63,5.82,97.86,maize
83.78,48.78,21.97,26.25,69.06,5.76,69.01,maize
75.0,47.63,21.04,20.87,65.75,6.2,77.36,maize
68.75,42.88,17.3,20.3,69.21,6.12,117.9,maize
83.95,48.42,18.28,24.08,62.7,6.55,117.0,maize
79.23,53.25,18.59,22.42,72.08,6.25,107.66,maize
85.66,44.69,21.26,24.69,67.49,5.87,75.91,maize
78.02,47.13,21.24,22.9,59.66,6.65,92.63,maize
84.48,52.9,21.67,23.53,64.72,5.84,90.37,maize
81.66,48.86,17.45,20.07,69.21,6.48,93.52,maize
80.23,47.65,21.88,21.34,65.38,6.32,79.57,maize
77.53,48.61,19.04,25.33,61.42,6.43,79.5,maize
91.58,48.48,22.06,19.16,66.07,6.86,86.03,maize
88.52,44.91,22.82,27.67,63.55,6.32,103.17,maize
92.64,44.89,19.16,21.87,59.62,6.13,72.45,maize
73.86,47.33,20.47,25.99,61.01,6.89,82.33,maize
79.6,50.87,17.75,23.36,65.67,6.7,88.61,maize
99.64,44.31,18.94,21.1,62.78,6.25,99.86,maize
91.36,44.65,18.34,23.56,62.79,6.75,87.54,maize
67.87,55.24,23.59,21.12,63.45,6.61,89.18,maize
85.27,57.55,19.65,20.7,59.48,6.21,84.59,maize
94.36,44.91,20.45,22.46,69.75,7.51,78.36,maize
76.08,52.72,21.36,26.66,67.34,6.36,92.38,maize
88.87,51.6,21.01,24.9,69.68,7.05,93.11,maize
78.66,48.23,22.41,20.66,66.47,6.34,85.36,maize
90.23,48.46,20.09,19.44,67.99,6.76,112.04,maize
77.54,48.6,20.5,26.05,64.62,6.61,92.6,maize
81.49,45.27,20.39,24.92,60.89,6.55,76.25,maize
89.56,39.88,18.88,23.35,71.26,6.47,78.06,maize
95.05,40.26,15.6,23.49,62.99,6.09,93.85,maize
81.95,44.68,17.44,24.46,67.6,6.46,108.08,maize
71.44,39.87,18.62,22.4,65.97,6.4,89.4,maize
69.99,54.72,19.84,25.01,66.37,6.68,92.12,maize
83.58,50.71,22.66,22.94,67.84,6.46,103.0,maize
74.59,56.5,19.92,19.28,65.51,6.23,95.51,maize
74.78,45.27,16.22,21.48,55.3,5.87,94.51,maize
86.29,49.63,18.07,22.39,64.99,6.04,103.79,maize
87.02,46.4,20.05,22.97,56.83,6.4,76.48,maize
71.99,46.09,23.6,23.94,62.72,6.73,102.49,maize
87.4,47.8,18.71,24.07,66.57,6.86,92.94,maize
88.4,44.82,22.63,22.94,73.3,6.22,106.7,maize
81.58,44.24,19.03,21.78,66.7,6.71,77.83,maize
79.81,58.21,23.46,23.48,65.15,6.55,92.67,maize
71.82,46.21,16.66,23.4,67.59,6.31,104.67,maize
70.19,40.18,20.45,24.86,71.74,6.32,98.48,maize
79.69,46.64,21.77,23.97,58.69,7.09,102.25,maize
75.0,49.48,20.99,23.09,62.8,6.23,84.68,maize
89.38,50.22,19.26,24.24,53.61,6.96,63.25,maize
77.1,41.9,17.41,25.11,63.13,6.64,84.41,maize
83.82,47.88,17.43,24.74,63.02,5.88,79.65,maize
92.01,51.75,19.3,21.71,63.71,7.33,89.77,maize
83.44,52.65,20.48,21.92,64.21,6.47,84.53,maize
85.82,47.76,21.47,22.32,65.31,5.7,96.45,maize
82.77,52.49,14.21,27.2,64.44,6.94,72.0,maize
84.9,42.23,18.75,26.81,64.24,6.59,95.88,maize
83.97,48.25,20.73,27.91,64.77,6.58,98.13,maize
88.84,53.44,21.28,19.93,71.53,6.04,88.78,maize
73.97,47.18,20.66,23.22,66.69,7.15,90.67,maize
78.05,52.32,22.38,19.74,67.39,6.78,81.28,maize
91.01,46.75,20.25,22.11,65.06,6.06,67.0,maize
92.76,43.27,18.02,17.65,62.44,5.97,105.53,maize
88.08,44.06,24.5,24.71,63.7,5.5,113.64,maize
68.88,39.27,22.05,27.99,70.54,6.73,92.43,maize
86.83,51.29,20.56,22.73,64.75,6.2,81.49,maize
66.46,47.01,18.02,20.02,65.72,7.06,96.48,maize
67.44,42.55,21.88,20.29,64.1,6.72,72.9,maize
80.84,40.83,18.8,23.22,58.63,6.68,84.75,maize
84.42,48.62,22.73,22.78,63.28,6.55,91.79,maize
80.39,47.7,18.6,21.01,59.39,7.2,69.45,maize
74.46,43.91,21.79,21.84,69.99,6.23,88.49,maize
73.32,58.23,17.62,23.2,67.54,6.67,82.68,maize
78.96,47.72,19.71,24.67,73.84,6.28,67.88,maize
79.29,60.4,18.39,26.19,71.71,6.28,92.11,maize
93.03,45.6,19.59,21.19,60.94,6.24,69.7,maize
80.27,43.65,20.47,19.0,66.32,6.83,60.08,maize
82.99,53.64,17.58,26.26,66.68,6.22,84.3,maize
84.47,47.88,21.08,20.43,65.68,5.93,83.61,maize
72.77,43.82,22.47,24.96,67.44,6.06,81.04,maize
89.7,48.21,24.64,23.38,65.77,6.38,86.67,maize
78.78,51.04,21.91,20.73,59.68,5.77,91.35,maize
71.17,36.74,20.78,28.11,64.98,6.84,86.02,maize
79.21,52.1,19.42,23.1,66.29,6.23,97.4,maize
78.6,43.72,21.07,20.48,65.11,6.5,98.57,maize
83.8,47.37,21.64,25.63,67.23,6.5,68.6,maize
71.48,45.97,18.78,22.08,65.23,6.71,84.12,maize
83.89,47.82,16.05,20.39,64.42,6.02,92.5,maize
92.25,53.59,19.57,25.85,65.59,6.37,77.33,maize
77.58,45.56,20.34,22.86,65.01,6.67,99.88,maize
87.6,40.08,14.89,24.6,59.53,6.41,70.37,maize
65.58,50.21,21.52,21.2,54.64,6.28,89.9,maize
68.17,48.42,19.97,23.8,65.48,6.11,99.96,maize
78.73,47.36,18.13,21.5,61.46,6.43,106.4,maize
69.02,39.43,22.94,22.03,62.32,6.92,77.43,maize
94.61,50.89,19.02,27.35,62.58,6.8,88.74,maize
90.41,55.31,20.06,20.8,66.84,6.23,110.17,maize
81.09,45.67,20.37,19.47,61.11,6.98,76.79,maize
31.62,70.18,82.37,19.76,18.2,6.87,69.34,chickpea
52.01,65.89,79.5,20.82,17.67,7.48,96.24,chickpea
34.85,72.14,80.11,18.97,18.83,7.5,84.04,chickpea
48.58,65.68,78.32,16.67,14.64,8.28,71.73,chickpea
38.23,66.12,80.61,19.93,18.03,6.96,78.75,chickpea
42.26,66.26,83.21,19.36,17.88,7.58,88.8,chickpea
41.45,61.02,80.8,17.36,16.37,7.54,89.29,chickpea
40.17,69.04,83.4,18.92,20.12,7.53,66.79,chickpea
46.03,69.41,82.58,19.68,16.83,6.64,78.43,chickpea
33.2,64.6,81.18,21.42,17.47,6.65,83.33,chickpea
49.57,64.45,79.73,18.53,16.06,7.57,79.09,chickpea
43.36,63.06,79.13,19.76,16.55,8.11,77.0,chickpea
41.8,72.16,77.16,15.42,15.17,7.88,75.86,chickpea
60.47,64.68,80.37,21.2,19.41,8.28,89.06,chickpea
48.19,70.46,81.56,17.54,16.02,7.25,78.72,chickpea
36.37,70.98,81.91,18.65,18.77,6.68,78.55,chickpea
34.27,58.17,79.83,18.29,18.82,7.57,72.32,chickpea
54.83,73.61,81.16,18.1,15.85,7.06,88.17,chickpea
55.08,75.22,79.02,16.54,17.17,6.37,82.42,chickpea
38.82,65.17,76.81,19.4,16.36,6.67,58.46,chickpea
39.78,76.36,83.32,17.7,16.28,7.48,72.51,chickpea
42.41,71.33,82.45,18.32,16.76,6.81,73.8,chickpea
38.19,69.34,81.83,17.09,18.79,7.11,79.84,chickpea
34.02,55.38,81.77,19.79,16.66,7.28,83.87,chickpea
27.5,64.85,81.59,16.3,17.35,6.57,83.5,chickpea
39.71,59.42,82.33,17.21,16.03,7.35,88.61,chickpea
31.87,67.81,80.86,19.71,17.21,7.07,73.79,chickpea
40.69,62.14,74.16,19.26,18.08,6.07,72.43,chickpea
44.95,77.79,80.04,17.23,16.78,7.94,75.16,chickpea
33.61,65.09,78.09,18.71,18.95,7.41,78.11,chickpea
37.67,59.68,81.77,18.36,16.78,8.85,82.24,chickpea
33.99,65.37,82.3,18.7,15.27,7.71,74.99,chickpea
54.99,72.9,79.11,20.74,17.08,7.68,83.64,chickpea
33.23,64.28,82.06,17.91,16.52,6.77,83.18,chickpea
56.5,62.16,80.05,20.97,16.9,7.48,72.03,chickpea
43.43,66.56,81.97,20.58,20.11,7.54,82.44,chickpea
41.56,65.73,80.68,17.98,17.2,7.91,72.45,chickpea
49.12,74.09,79.76,14.79,16.27,7.9,79.83,chickpea
32.01,64.98,81.68,19.46,16.71,7.07,77.06,chickpea
32.62,75.58,79.36,20.63,18.83,7.75,76.76,chickpea
43.23,67.38,78.19,19.07,15.59,7.84,76.52,chickpea
41.61,68.92,79.48,19.53,16.43,7.69,69.91,chickpea
41.01,77.19,78.0,17.31,17.62,7.34,82.63,chickpea
43.91,70.67,82.22,19.22,16.71,7.59,94.25,chickpea
38.94,62.63,82.21,18.29,14.39,7.67,75.99,chickpea
39.28,69.16,80.38,19.74,16.48,7.51,78.05,chickpea
45.91,70.58,78.13,20.4,16.36,7.65,82.75,chickpea
54.71,66.38,79.3,18.47,16.64,7.65,67.88,chickpea
31.57,62.16,81.9,21.49,16.87,7.17,80.53,chickpea
49.3,62.86,80.48,20.21,17.6,7.34,87.51,chickpea
18.37,70.89,78.69,15.3,17.61,7.94,78.97,chickpea
47.62,75.56,82.63,21.37,17.89,7.29,67.99,chickpea
38.03,63.28,84.34,18.19,17.15,7.53,80.33,chickpea
53.56,64.39,80.39,17.2,15.42,6.94,79.72,chickpea
36.57,64.04,77.19,18.35,15.19,7.63,80.62,chickpea
28.34,65.95,78.5,19.06,18.61,6.31,80.86,chickpea
38.72,70.86,80.43,17.18,16.62,6.85,88.07,chickpea
40.17,77.01,79.88,17.26,15.18,6.35,68.12,chickpea
42.14,70.04,76.84,20.07,16.42,7.32,92.09,chickpea
47.17,66.16,78.22,14.73,16.14,7.14,72.6,chickpea
38.95,67.88,79.55,17.36,17.2,7.47,71.82,chickpea
51.29,67.01,80.04,19.74,17.28,7.73,82.15,chickpea
35.1,69.31,77.71,18.69,16.96,7.15,79.04,chickpea
24.95,64.76,80.19,18.78,15.77,7.88,73.5,chickpea
47.76,69.64,78.71,21.61,15.57,7.71,87.5,chickpea
34.64,74.46,79.5,19.01,17.31,7.18,86.08,chickpea
46.35,58.76,82.61,15.59,18.24,7.81,71.82,chickpea
36.71,61.97,79.57,17.96,17.94,7.91,90.47,chickpea
35.5,66.45,76.63,17.09,18.16,8.06,70.74,chickpea
35.26,67.37,80.56,17.08,17.51,7.01,79.89,chickpea
44.37,67.53,79.13,18.31,16.89,7.06,78.06,chickpea
52.79,70.3,79.41,19.72,16.6,7.84,82.77,chickpea
39.14,69.74,76.86,16.53,15.57,7.32,92.99,chickpea
57.85,70.69,81.0,15.35,16.35,6.86,75.34,chickpea
38.65,65.14,76.04,19.81,15.71,7.37,95.56,chickpea
32.64,54.85,79.43,20.43,19.35,6.64,83.73,chickpea
36.28,66.97,85.29,15.87,17.3,7.48,88.14,chickpea
40.78,69.04,79.22,18.97,16.59,7.56,77.23,chickpea
43.02,67.35,82.25,18.41,14.87,7.88,73.21,chickpea
34.77,64.52,82.75,14.76,20.77,7.78,81.67,chickpea
39.56,68.93,81.04,19.63,17.67,7.29,78.52,chickpea
38.79,66.53,82.27,19.54,13.47,7.58,81.46,chickpea
39.85,65.56,82.25,20.16,16.07,7.45,72.71,chickpea
28.96,64.37,81.72,20.17,17.62,7.61,83.87,chickpea
34.87,69.66,81.6,19.82,18.43,7.6,82.64,chickpea
48.56,67.37,78.24,18.21,16.11,6.91,78.92,chickpea
33.66,65.96,76.21,18.87,17.0,6.84,84.94,chickpea
47.5,59.46,78.47,17.15,15.87,7.66,78.55,chickpea
37.88,57.48,81.27,16.33,17.07,7.39,90.2,chickpea
29.53,52.4,80.37,21.65,18.49,7.35,76.31,chickpea
46.46,62.63,80.95,19.38,18.27,8.63,82.94,chickpea
35.93,67.37,76.46,17.28,16.51,6.99,81.14,chickpea
33.42,73.11,80.0,18.48,16.61,7.33,86.19,chickpea
33.06,64.21,79.39,16.14,16.02,7.01,86.56,chickpea
42.1,68.47,81.7,18.26,17.47,7.2,81.99,chickpea
35.34,55.31,79.73,20.99,18.11,7.73,89.27,chickpea
40.71,68.49,78.76,17.95,17.74,7.85,78.95,chickpea
36.4,67.5,81.2,15.97,14.24,6.97,70.84,chickpea
35.93,66.76,79.09,21.04,17.39,7.4,84.67,chickpea
30.89,72.7,79.85,19.67,15.71,6.47,86.13,chickpea
27.26,62.99,18.26,22.03,19.83,5.91,84.74,kidneybeans
28.83,65.86,21.21,18.28,21.27,5.75,82.45,kidneybeans
29.44,64.93,19.54,17.26,17.91,5.73,159.28,kidneybeans
29.71,67.4,19.47,19.55,22.27,5.63,130.07,kidneybeans
29.29,71.09,20.88,19.54,22.44,5.81,97.03,kidneybeans
21.56,68.01,23.1,16.71,19.45,5.77,106.14,kidneybeans
26.04,68.72,19.55,22.85,19.26,5.67,102.68,kidneybeans
15.14,66.62,23.32,19.55,21.82,5.62,91.13,kidneybeans
22.75,65.91,22.56,20.75,19.94,5.77,116.21,kidneybeans
31.84,75.4,17.97,17.68,19.74,5.73,115.49,kidneybeans
30.92,67.12,19.36,19.84,20.33,5.96,68.83,kidneybeans
26.11,77.62,20.01,19.07,21.0,5.73,135.89,kidneybeans
11.73,75.17,17.15,18.9,20.9,5.81,69.04,kidneybeans
27.77,77.62,17.27,19.93,20.57,5.79,105.43,kidneybeans
21.15,69.94,23.61,19.07,22.51,5.62,83.48,kidneybeans
27.83,74.92,20.71,18.8,21.5,5.62,118.6,kidneybeans
30.29,65.24,19.06,20.1,20.89,5.74,152.24,kidneybeans
23.52,65.71,18.7,21.17,21.25,5.69,134.73,kidneybeans
33.52,64.5,16.27,21.77,20.54,5.83,60.67,kidneybeans
30.36,61.44,21.46,19.53,20.16,5.71,120.44,kidneybeans
25.64,70.42,23.95,15.98,23.76,5.76,84.78,kidneybeans
17.02,66.55,21.84,19.21,23.62,5.6,104.73,kidneybeans
17.49,69.32,21.77,18.55,17.85,5.77,114.83,kidneybeans
27.43,73.68,17.86,21.03,23.17,5.57,112.19,kidneybeans
21.97,67.09,20.7,18.4,20.55,5.75,80.54,kidneybeans
18.49,70.9,17.7,21.0,22.15,5.58,89.75,kidneybeans
32.16,62.59,19.07,20.54,22.6,5.72,91.56,kidneybeans
33.53,76.19,21.96,19.69,20.37,5.67,116.76,kidneybeans
27.51,74.51,21.3,16.12,22.97,5.65,96.36,kidneybeans
26.5,77.48,26.22,20.87,21.24,5.8,124.97,kidneybeans
23.08,76.48,20.46,20.62,22.43,5.79,123.88,kidneybeans
21.3,64.71,17.8,20.49,22.59,5.8,142.68,kidneybeans
24.97,70.84,17.82,18.63,22.47,5.83,98.39,kidneybeans
24.57,59.91,19.29,21.5,22.31,5.8,106.12,kidneybeans
25.04,64.2,21.4,20.45,22.19,5.7,56.55,kidneybeans
31.58,65.11,18.27,21.06,20.95,5.86,118.88,kidneybeans
29.1,60.67,22.42,20.09,20.98,5.76,65.03,kidneybeans
27.45,62.35,17.29,16.07,23.06,5.69,139.51,kidneybeans
21.79,58.96,17.77,22.28,21.28,5.7,108.6,kidneybeans
28.01,73.09,22.9,18.69,19.64,5.71,110.86,kidneybeans
19.22,62.71,20.69,19.39,21.55,5.67,99.82,kidneybeans
19.45,71.95,22.07,15.35,20.2,5.6,90.37,kidneybeans
24.5,60.25,18.16,17.24,21.79,5.76,88.76,kidneybeans
26.06,64.77,19.46,23.27,23.38,5.62,123.67,kidneybeans
29.87,61.76,21.64,22.96,19.93,5.66,127.9,kidneybeans
26.63,70.26,20.68,20.38,19.64,5.85,131.32,kidneybeans
23.62,67.28,16.94,20.66,22.3,5.74,130.3,kidneybeans
23.0,70.32,17.96,19.45,21.26,5.77,96.69,kidneybeans
24.21,71.63,19.13,15.89,23.95,5.89,75.92,kidneybeans
29.14,64.99,20.53,20.16,21.17,5.67,89.46,kidneybeans
19.5,63.34,19.87,17.89,22.45,5.9,91.95,kidneybeans
26.44,70.0,20.94,19.67,22.54,5.8,77.15,kidneybeans
30.21,71.94,18.47,19.59,22.46,5.73,129.14,kidneybeans
39.18,63.57,17.24,20.18,22.51,5.73,137.7,kidneybeans
16.97,70.96,18.79,23.37,24.29,5.67,92.63,kidneybeans
30.16,65.56,19.91,19.56,18.81,5.75,89.48,kidneybeans
22.04,74.72,17.49,21.33,21.11,5.72,122.78,kidneybeans
27.04,70.35,21.94,18.75,20.64,5.64,86.43,kidneybeans
42.69,73.72,17.3,16.52,22.17,5.8,117.35,kidneybeans
23.47,66.87,20.66,19.69,18.39,5.73,85.84,kidneybeans
26.05,82.43,20.73,18.79,22.79,5.8,114.45,kidneybeans
28.64,77.78,17.74,20.57,20.2,5.81,84.33,kidneybeans
22.5,66.02,21.95,21.57,19.76,5.76,89.03,kidneybeans
17.45,66.41,19.38,24.96,22.11,5.61,92.29,kidneybeans
31.13,77.94,16.83,15.27,24.12,5.79,85.46,kidneybeans
28.21,54.32,20.01,20.24,22.79,5.65,106.93,kidneybeans
19.45,68.78,18.21,18.58,20.11,5.82,124.32,kidneybeans
23.59,67.69,17.1,18.83,21.43,6.01,79.98,kidneybeans
33.79,72.48,20.56,23.46,22.02,5.79,103.8,kidneybeans
32.34,72.98,18.75,16.53,21.22,5.67,103.57,kidneybeans
32.42,65.21,19.91,19.63,22.69,5.53,91.35,kidneybeans
26.27,73.5,19.02,15.28,22.37,5.69,78.23,kidneybeans
21.25,66.58,18.79,14.54,22.76,5.88,119.66,kidneybeans
18.17,66.49,19.99,20.85,22.44,5.68,106.84,kidneybeans
27.74,74.78,21.41,21.28,21.62,5.89,114.22,kidneybeans
19.83,74.52,21.4,18.5,20.83,5.78,115.42,kidneybeans
26.18,69.06,23.4,21.91,21.77,5.84,81.77,kidneybeans
27.39,76.55,19.56,17.59,20.59,5.64,87.34,kidneybeans
22.78,60.47,20.03,21.53,20.23,5.9,116.49,kidneybeans
31.18,64.21,21.71,17.04,22.75,5.77,117.45,kidneybeans
17.95,63.02,21.19,17.37,22.15,5.61,124.08,kidneybeans
17.6,70.26,21.25,17.93,22.31,5.78,92.88,kidneybeans
18.95,57.69,20.7,15.98,21.63,5.72,120.28,kidneybeans
23.19,65.85,21.46,20.25,21.94,5.8,70.45,kidneybeans
29.54,70.56,17.97,18.95,21.44,5.74,112.51,kidneybeans
33.59,72.91,17.38,20.9,23.36,5.79,129.55,kidneybeans
37.07,72.62,20.5,21.85,21.7,5.75,97.09,kidneybeans
34.38,63.41,23.06,20.62,19.54,5.79,57.75,kidneybeans
28.75,71.93,18.82,19.78,24.24,5.7,81.17,kidneybeans
33.89,77.31,20.01,21.78,23.38,5.68,94.08,kidneybeans
32.39,75.93,21.13,17.52,24.28,5.7,97.46,kidneybeans
27.05,75.27,21.71,20.43,22.15,5.75,117.56,kidneybeans
9.82,66.02,20.48,16.91,22.04,5.73,144.5,kidneybeans
34.44,65.17,19.7,19.33,20.87,5.77,87.94,kidneybeans
18.22,70.61,21.26,17.69,22.75,5.69,110.7,kidneybeans
29.92,67.33,20.91,18.34,21.22,5.73,88.2,kidneybeans
23.94,59.76,19.02,18.86,21.14,5.73,103.61,kidneybeans
27.88,71.87,18.7,16.79,20.04,5.7,97.08,kidneybeans
20.38,61.02,19.09,19.91,22.33,5.69,95.71,kidneybeans
19.44,67.34,18.3,20.79,19.0,5.71,111.77,kidneybeans
26.1,80.97,20.7,28.24,49.24,5.36,142.78,pigeonpeas
20.0,72.08,18.9,31.12,44.92,7.12,136.17,pigeonpeas
36.0,71.57,20.96,32.7,53.15,5.29,137.33,pigeonpeas
30.07,67.26,17.19,31.33,63.63,6.87,143.29,pigeonpeas
30.71,65.67,16.59,28.5,62.5,6.11,138.31,pigeonpeas
23.2,77.02,23.25,38.71,48.73,6.4,103.29,pigeonpeas
33.86,61.66,20.43,27.93,45.29,5.83,128.28,pigeonpeas
21.77,64.76,21.67,27.91,51.76,6.86,130.89,pigeonpeas
20.69,66.35,22.36,32.13,45.75,6.49,114.69,pigeonpeas
29.09,69.54,19.38,28.77,42.91,6.52,178.8,pigeonpeas
21.18,69.79,15.83,29.6,49.75,5.8,119.25,pigeonpeas
20.99,68.96,19.63,24.23,33.03,5.95,157.59,pigeonpeas
8.51,65.0,18.95,36.01,46.92,6.44,148.88,pigeonpeas
12.22,71.34,20.43,33.15,81.41,5.21,192.43,pigeonpeas
23.28,68.94,19.91,30.12,45.44,6.41,103.28,pigeonpeas
29.5,65.42,17.74,30.04,60.06,5.98,154.86,pigeonpeas
20.61,71.29,21.37,37.51,48.6,6.58,147.7,pigeonpeas
32.78,63.91,21.49,30.87,49.49,6.3,151.94,pigeonpeas
24.3,68.57,23.16,34.7,56.95,6.02,120.55,pigeonpeas
30.73,71.88,22.95,29.54,48.16,5.43,134.21,pigeonpeas
30.98,65.17,21.28,30.88,52.59,5.68,147.34,pigeonpeas
7.05,66.57,16.74,35.42,56.22,6.48,186.83,pigeonpeas
19.31,76.24,21.86,30.73,59.08,5.7,122.33,pigeonpeas
21.35,64.86,17.89,35.48,47.93,6.43,129.32,pigeonpeas
14.08,68.85,16.18,31.28,39.05,7.24,170.06,pigeonpeas
25.63,73.82,18.31,33.27,51.6,6.38,179.99,pigeonpeas
